baseSlug,player,name_key,reason
ivano_newbill,Ivano Newbill,ivano newbill,no_headshot_file
jabari_smith,Jabari Smith,jabari smith,no_headshot_file
jack_givens,Jack Givens,jack givens,no_headshot_file
jackie_butler,Jackie Butler,jackie butler,no_headshot_file
jackie_ridgle,Jackie Ridgle,jackie ridgle,no_headshot_file
jackson_vroman,Jackson Vroman,jackson vroman,no_headshot_file
jacky_dorsey,Jacky Dorsey,jacky dorsey,no_headshot_file
jacque_vaughn,Jacque Vaughn,jacque vaughn,no_headshot_file
jahidi_white,Jahidi White,jahidi white,no_headshot_file
jake_ford,Jake Ford,jake ford,no_headshot_file
jamal_sampson,Jamal Sampson,jamal sampson,no_headshot_file
james_hardy,James Hardy,james hardy,no_headshot_file
james_ray,James Ray,james ray,no_headshot_file
james_robinson,James Robinson,james robinson,no_headshot_file
james_wilkes,James Wilkes,james wilkes,no_headshot_file
jamie_feick,Jamie Feick,jamie feick,no_headshot_file
jamie_watson,Jamie Watson,jamie watson,no_headshot_file
jamison_brewer,Jamison Brewer,jamison brewer,no_headshot_file
jan_van_breda_kolff,Jan van Breda Kolff,jan van breda kolff,no_headshot_file
jared_reiner,Jared Reiner,jared reiner,no_headshot_file
jaren_jackson,Jaren Jackson,jaren jackson,no_headshot_file
jarron_cumberland,Jarron Cumberland,jarron cumberland,no_headshot_file
jason_collier,Jason Collier,jason collier,no_headshot_file
javaris_crittenton,Javaris Crittenton,javaris crittenton,no_headshot_file
jawann_oldham,Jawann Oldham,jawann oldham,no_headshot_file
jay_guidinger,Jay Guidinger,jay guidinger,no_headshot_file
jay_murphy,Jay Murphy,jay murphy,no_headshot_file
jay_williams,Jay Williams,jay williams,no_headshot_file
jaysean_paige,Jaysean Paige,jaysean paige,no_headshot_file
jayson_kent,Jayson Kent,jayson kent,no_headshot_file
jeff_halliburton,Jeff Halliburton,jeff halliburton,no_headshot_file
jeff_judkins,Jeff Judkins,jeff judkins,no_headshot_file
jeff_lamp,Jeff Lamp,jeff lamp,no_headshot_file
jeff_martin,Jeff Martin,jeff martin,no_headshot_file
jeff_webb,Jeff Webb,jeff webb,no_headshot_file
jeff_wilkins,Jeff Wilkins,jeff wilkins,no_headshot_file
jelani_mccoy,Jelani McCoy,jelani mccoy,no_headshot_file
jerald_honeycutt,Jerald Honeycutt,jerald honeycutt,no_headshot_file
jeremy_richardson,Jeremy Richardson,jeremy richardson,no_headshot_file
jermaine_jackson,Jermaine Jackson,jermaine jackson,no_headshot_file
jermareo_davidson,Jermareo Davidson,jermareo davidson,no_headshot_file
jerome_anderson,Jerome Anderson,jerome anderson,no_headshot_file
jerome_lane,Jerome Lane,jerome lane,no_headshot_file
jerome_whitehead,Jerome Whitehead,jerome whitehead,no_headshot_file
jerrod_mustaf,Jerrod Mustaf,jerrod mustaf,no_headshot_file
jerry_chambers,Jerry Chambers,jerry chambers,no_headshot_file
jerry_eaves,Jerry Eaves,jerry eaves,no_headshot_file
jeryl_sasser,Jeryl Sasser,jeryl sasser,no_headshot_file
jesse_dark,Jesse Dark,jesse dark,no_headshot_file
jim_ard,Jim Ard,jim ard,no_headshot_file
jim_barnes,Jim Barnes,jim barnes,no_headshot_file
jim_barnett,Jim Barnett,jim barnett,no_headshot_file
jim_brogan,Jim Brogan,jim brogan,no_headshot_file
jim_creighton,Jim Creighton,jim creighton,no_headshot_file
jim_davis,Jim Davis,jim davis,no_headshot_file
jim_eakins,Jim Eakins,jim eakins,no_headshot_file
jim_farmer,Jim Farmer,jim farmer,no_headshot_file
jim_fox,Jim Fox,jim fox,no_headshot_file
jim_king,Jim King,jim king,no_headshot_file
jim_marsh,Jim Marsh,jim marsh,no_headshot_file
jim_mcdaniels,Jim McDaniels,jim mcdaniels,no_headshot_file
jim_mcelroy,Jim McElroy,jim mcelroy,no_headshot_file
jim_owens,Jim Owens,jim owens,no_headshot_file
jim_paxson,Jim Paxson,jim paxson,no_headshot_file
jim_smith,Jim Smith,jim smith,no_headshot_file
jim_thomas,Jim Thomas,jim thomas,no_headshot_file
jim_washington,Jim Washington,jim washington,no_headshot_file
jimmy_collins,Jimmy Collins,jimmy collins,no_headshot_file
jimmy_jones,Jimmy Jones,jimmy jones,no_headshot_file
jimmy_king,Jimmy King,jimmy king,no_headshot_file
jimmy_oliver,Jimmy Oliver,jimmy oliver,no_headshot_file
jimmy_walker,Jimmy Walker,jimmy walker,no_headshot_file
jj_anderson,J.J. Anderson,jj anderson,no_headshot_file
jo_jo_english,Jo Jo English,jo jo english,no_headshot_file
joby_wright,Joby Wright,joby wright,no_headshot_file
joe_bryant,Joe Bryant,joe bryant,no_headshot_file
joe_caldwell,Joe Caldwell,joe caldwell,no_headshot_file
joe_cooke,Joe Cooke,joe cooke,no_headshot_file
joe_courtney,Joe Courtney,joe courtney,no_headshot_file
joe_ellis,Joe Ellis,joe ellis,no_headshot_file
joe_hassett,Joe Hassett,joe hassett,no_headshot_file
joe_kopicki,Joe Kopicki,joe kopicki,no_headshot_file
joe_meriweather,Joe Meriweather,joe meriweather,no_headshot_file
joe_pace,Joe Pace,joe pace,no_headshot_file
joe_thomas,Joe Thomas,joe thomas,no_headshot_file
joel_kramer,Joel Kramer,joel kramer,no_headshot_file
john_block,John Block,john block,no_headshot_file
john_brisker,John Brisker,john brisker,no_headshot_file
john_brown,John Brown,john brown,no_headshot_file
john_crotty,John Crotty,john crotty,no_headshot_file
john_douglas,John Douglas,john douglas,no_headshot_file
john_duren,John Duren,john duren,no_headshot_file
john_edwards,John Edwards,john edwards,no_headshot_file
john_garris,John Garris,john garris,no_headshot_file
john_hummer,John Hummer,john hummer,no_headshot_file
john_johnson,John Johnson,john johnson,no_headshot_file
john_kuester,John Kuester,john kuester,no_headshot_file
john_lambert,John Lambert,john lambert,no_headshot_file
john_laskowski,John Laskowski,john laskowski,no_headshot_file
john_long,John Long,john long,no_headshot_file
john_lucas,John Lucas,john lucas,no_headshot_file
john_mengelt,John Mengelt,john mengelt,no_headshot_file
john_morton,John Morton,john morton,no_headshot_file
john_olive,John Olive,john olive,no_headshot_file
john_roche,John Roche,john roche,no_headshot_file
john_rudd,John Rudd,john rudd,no_headshot_file
john_shasky,John Shasky,john shasky,no_headshot_file
john_stroeder,John Stroeder,john stroeder,no_headshot_file
john_trapp,John Trapp,john trapp,no_headshot_file
john_tresvant,John Tresvant,john tresvant,no_headshot_file
john_tschogl,John Tschogl,john tschogl,no_headshot_file
john_turner,John Turner,john turner,no_headshot_file
john_vallely,John Vallely,john vallely,no_headshot_file
john_wallace,John Wallace,john wallace,no_headshot_file
john_warren,John Warren,john warren,no_headshot_file
john_wetzel,John Wetzel,john wetzel,no_headshot_file
johnny_baum,Johnny Baum,johnny baum,no_headshot_file
johnny_egan,Johnny Egan,johnny egan,no_headshot_file
johnny_green,Johnny Green,johnny green,no_headshot_file
johnny_high,Johnny High,johnny high,no_headshot_file
johnny_newman,Johnny Newman,johnny newman,no_headshot_file
johnny_rogers,Johnny Rogers,johnny rogers,no_headshot_file
johnny_taylor,Johnny Taylor,johnny taylor,no_headshot_file
jon_sundvold,Jon Sundvold,jon sundvold,no_headshot_file
jonathan_bender,Jonathan Bender,jonathan bender,no_headshot_file
jorge_garbajosa,Jorge Garbajosa,jorge garbajosa,no_headshot_file
jos_ortiz,José Ortiz,jose ortiz,no_headshot_file
jose_slaughter,Jose Slaughter,jose slaughter,no_headshot_file
josh_grant,Josh Grant,josh grant,no_headshot_file
josh_oduro,Josh Oduro,josh oduro,no_headshot_file
jr_bremer,J.R. Bremer,jr bremer,no_headshot_file
jr_giddens,J.R. Giddens,jr giddens,no_headshot_file
jr_henderson,J.R. Henderson,jr henderson,no_headshot_file
jr_reid,J.R. Reid,jr reid,no_headshot_file
juan_carlos_navarro,Juan Carlos Navarro,juan carlos navarro,no_headshot_file
juan_dixon,Juan Dixon,juan dixon,no_headshot_file
juaquin_hawkins,Juaquin Hawkins,juaquin hawkins,no_headshot_file
jumaine_jones,Jumaine Jones,jumaine jones,no_headshot_file
junior_burrough,Junior Burrough,junior burrough,no_headshot_file
junior_harrington,Junior Harrington,junior harrington,no_headshot_file
justin_reed,Justin Reed,justin reed,no_headshot_file
justin_williams,Justin Williams,justin williams,no_headshot_file
kadary_richmond,Kadary Richmond,kadary richmond,no_headshot_file
kareem_rush,Kareem Rush,kareem rush,no_headshot_file
keith_closs,Keith Closs,keith closs,no_headshot_file
keith_edmonson,Keith Edmonson,keith edmonson,no_headshot_file
keith_erickson,Keith Erickson,keith erickson,no_headshot_file
keith_herron,Keith Herron,keith herron,no_headshot_file
keith_jennings,Keith Jennings,keith jennings,no_headshot_file
keith_smith,Keith Smith,keith smith,no_headshot_file
keith_tower,Keith Tower,keith tower,no_headshot_file
kelvin_cato,Kelvin Cato,kelvin cato,no_headshot_file
kelvin_upshaw,Kelvin Upshaw,kelvin upshaw,no_headshot_file
ken_bannister,Ken Bannister,ken bannister,no_headshot_file
ken_charles,Ken Charles,ken charles,no_headshot_file
ken_johnson,Ken Johnson,ken johnson,no_headshot_file
kennard_winchester,Kennard Winchester,kennard winchester,no_headshot_file
kenny_battle,Kenny Battle,kenny battle,no_headshot_file
kenny_fields,Kenny Fields,kenny fields,no_headshot_file
kenny_green,Kenny Green,kenny green,no_headshot_file
kenny_higgs,Kenny Higgs,kenny higgs,no_headshot_file
kenny_mcintosh,Kenny McIntosh,kenny mcintosh,no_headshot_file
kenny_natt,Kenny Natt,kenny natt,no_headshot_file
kenny_payne,Kenny Payne,kenny payne,no_headshot_file
kenny_satterfield,Kenny Satterfield,kenny satterfield,no_headshot_file
kenny_walker,Kenny Walker,kenny walker,no_headshot_file
kermit_washington,Kermit Washington,kermit washington,no_headshot_file
kevin_brooks,Kevin Brooks,kevin brooks,no_headshot_file
kevin_burleson,Kevin Burleson,kevin burleson,no_headshot_file
kevin_duckworth,Kevin Duckworth,kevin duckworth,no_headshot_file
kevin_edwards,Kevin Edwards,kevin edwards,no_headshot_file
kevin_grevey,Kevin Grevey,kevin grevey,no_headshot_file
kevin_kunnert,Kevin Kunnert,kevin kunnert,no_headshot_file
kevin_loder,Kevin Loder,kevin loder,no_headshot_file
kevin_lynch,Kevin Lynch,kevin lynch,no_headshot_file
kevin_pritchard,Kevin Pritchard,kevin pritchard,no_headshot_file
kevin_restani,Kevin Restani,kevin restani,no_headshot_file
kevin_salvadori,Kevin Salvadori,kevin salvadori,no_headshot_file
kevin_stacom,Kevin Stacom,kevin stacom,no_headshot_file
khalid_el_amin,Khalid El-Amin,khalid elamin,no_headshot_file
kirk_snyder,Kirk Snyder,kirk snyder,no_headshot_file
kiwane_lemorris_garris,Kiwane Lemorris Garris,kiwane lemorris garris,no_headshot_file
kurk_lee,Kurk Lee,kurk lee,no_headshot_file
labradford_smith,LaBradford Smith,labradford smith,no_headshot_file
