team,player,pos,ppg,rpg,apg,spg,bpg,positions,id,baseSlug,era,reason
SAS,Johnny Moore,PG,2.2,1.0,1.5,0.6,0.1,['PG'],johnny_moore_sas_1990s,johnny_moore,1990s,no_bbref_match
SAS,Malik Hairston,SG,2.1,1.0,0.3,0.1,0.2,['SG'],malik_hairston_sas_2010s,malik_hairston,2010s,no_bbref_match
SAS,Michael Finley,SF,3.7,1.5,0.8,0.2,0.2,"['SF', 'SG']",michael_finley_sas_2010s,michael_finley,2010s,no_bbref_match
TOR,Rasho Nesterović,C,3.9,2.1,0.6,0.2,0.4,['C'],rasho_nesterovi_tor_2010s,rasho_nesterovi,2010s,no_bbref_match
UTA,Duck Williams,PG,6.6,1.4,2.4,1.3,0.1,['PG'],duck_williams_uta_1980s,duck_williams,1980s,no_bbref_match
UTA,Paul Dawkins,SF,5.5,2.2,1.4,0.6,0.2,['SF'],paul_dawkins_uta_1980s,paul_dawkins,1980s,no_bbref_match
UTA,Terry Furlow,SG,16.0,2.8,4.0,1.0,0.3,['SG'],terry_furlow_uta_1980s,terry_furlow,1980s,no_bbref_match
UTA,Eric Johnson,PG,1.1,0.6,1.3,0.4,0.0,['PG'],eric_johnson_uta_1990s,eric_johnson,1990s,no_bbref_match
UTA,Armen Gilliam,PF,6.7,4.2,0.8,0.2,0.3,"['PF', 'SF']",armen_gilliam_uta_2000s,armen_gilliam,2000s,no_bbref_match
UTA,Jeff Hornacek,SG,12.4,2.4,2.6,0.9,0.2,"['PG', 'SG']",jeff_hornacek_uta_2000s,jeff_hornacek,2000s,no_bbref_match
UTA,Pete Chilcutt,PF,1.8,1.7,0.4,0.2,0.2,['PF'],pete_chilcutt_uta_2000s,pete_chilcutt,2000s,no_bbref_match
WAS,Al Tucker,PF,4.44,2.16,0.25,,,['PF'],al_tucker_was_1970s,al_tucker,1970s,no_bbref_match
WAS,Dorie Murrey,PF,2.78,2.84,0.36,,,"['C', 'PF']",dorie_murrey_was_1970s,dorie_murrey,1970s,no_bbref_match
WAS,Ed Manning,PF,2.4,1.2,0.1,,,"['PF', 'SF']",ed_manning_was_1970s,ed_manning,1970s,no_bbref_match
WAS,Eddie Miles,SG,9.71,2.64,1.68,,,"['PG', 'SG']",eddie_miles_was_1970s,eddie_miles,1970s,no_bbref_match
WAS,Flynn Robinson,SG,6.9,1.4,2.0,,,"['PG', 'SG']",flynn_robinson_was_1970s,flynn_robinson,1970s,no_bbref_match
WAS,Gary Zeller,SG,3.49,1.15,0.46,,,['SG'],gary_zeller_was_1970s,gary_zeller,1970s,no_bbref_match
WAS,Gus Johnson,PF,15.3,13.33,2.77,,,"['PF', 'SF']",gus_johnson_was_1970s,gus_johnson,1970s,no_bbref_match
WAS,John Tresvant,PF,6.2,4.5,1.02,,,['PF'],john_tresvant_was_1970s,john_tresvant,1970s,no_bbref_match
WAS,Kevin Loughery,SG,17.67,2.86,4.34,,,"['PG', 'SG']",kevin_loughery_was_1970s,kevin_loughery,1970s,no_bbref_match
WAS,Mike Davis,PF,11.45,2.38,1.91,,,"['PF', 'SG']",mike_davis_was_1970s,mike_davis,1970s,no_bbref_match
WAS,Ray Scott,PF,8.9,6.3,1.6,,,"['C', 'PF']",ray_scott_was_1970s,ray_scott,1970s,no_bbref_match
WAS,Gus Bailey,SG,1.9,1.4,1.3,0.4,0.2,['SG'],gus_bailey_was_1980s,gus_bailey,1980s,no_bbref_match
WAS,Jim Cleamons,PG,7.8,2.3,4.4,0.8,0.2,['PG'],jim_cleamons_was_1980s,jim_cleamons,1980s,no_bbref_match
WAS,Doug Roth,C,1.9,2.9,0.5,0.2,0.3,['C'],doug_roth_was_1990s,doug_roth,1990s,no_bbref_match
WAS,Ed Horton,PF,4.5,2.4,0.4,0.2,0.1,['PF'],ed_horton_was_1990s,ed_horton,1990s,no_bbref_match
WAS,Melvin Turpin,C,4.7,3.7,0.5,0.3,0.8,['C'],melvin_turpin_was_1990s,melvin_turpin,1990s,no_bbref_match
WAS,Reggie Jordan,PG,1.1,1.1,0.9,0.3,0.1,"['PG', 'SG']",reggie_jordan_was_2000s,reggie_jordan,2000s,no_bbref_match
CLE,Marcus Morris Sr.,G/F,6.4,2.7,0.7,0.3,0.3,"['SG', 'SF']",marcus_morris_sr_cle_2020s,marcus_morris_sr,2020s,no_bbref_match
LAC,Marcus Morris Sr.,G/F,13.3,4.2,1.6,0.6,0.3,"['SG', 'SF']",marcus_morris_sr_lac_2020s,marcus_morris_sr,2020s,no_bbref_match
DAL,Reggie Bullock Jr.,G/F,7.9,3.5,1.3,0.6,0.2,"['SG', 'SF']",reggie_bullock_jr_dal_2020s,reggie_bullock_jr,2020s,no_bbref_match
HOU,Reggie Bullock Jr.,G/F,2.2,1.7,0.3,0.3,0.1,"['SG', 'SF']",reggie_bullock_jr_hou_2020s,reggie_bullock_jr,2020s,no_bbref_match
NYK,Reggie Bullock Jr.,G/F,10.9,3.4,1.5,0.8,0.2,"['SG', 'SF']",reggie_bullock_jr_nyk_2020s,reggie_bullock_jr,2020s,no_bbref_match
LAL,Harry Giles III,G/F,2.4,1.3,0.3,0.1,0.1,"['SG', 'SF']",harry_giles_iii_lal_2020s,harry_giles_iii,2020s,no_bbref_match
POR,Harry Giles III,G/F,2.8,3.5,0.8,0.2,0.3,"['SG', 'SF']",harry_giles_iii_por_2020s,harry_giles_iii,2020s,no_bbref_match
DET,Derrick Walton Jr.,G/F,6.3,3.3,7.0,2.3,1.3,"['SG', 'SF']",derrick_walton_jr_det_2020s,derrick_walton_jr,2020s,no_bbref_match
IND,Brian Bowen II,G/F,0.5,0.5,0.0,0.0,0.0,"['SG', 'SF']",brian_bowen_ii_ind_2020s,brian_bowen_ii,2020s,no_bbref_match
OKC,Melvin Frazier Jr.,G/F,10.7,4.3,0.3,0.3,0.0,"['SG', 'SF']",melvin_frazier_jr_okc_2020s,melvin_frazier_jr,2020s,no_bbref_match
ATL,Kevin Knox II,G/F,3.1,1.5,0.3,0.1,0.1,"['SG', 'SF']",kevin_knox_ii_atl_2020s,kevin_knox_ii,2020s,no_bbref_match
GSW,Kevin Knox II,G/F,3.3,1.2,0.4,0.1,0.3,"['SG', 'SF']",kevin_knox_ii_gsw_2020s,kevin_knox_ii,2020s,no_bbref_match
NYK,Kevin Knox II,G/F,3.9,1.5,0.5,0.3,0.1,"['SG', 'SF']",kevin_knox_ii_nyk_2020s,kevin_knox_ii,2020s,no_bbref_match
POR,Kevin Knox II,G/F,6.9,2.6,0.6,0.4,0.2,"['SG', 'SF']",kevin_knox_ii_por_2020s,kevin_knox_ii,2020s,no_bbref_match
BOS,Robert Williams III,G/F,8.7,8.3,1.7,0.8,1.8,"['SG', 'SF']",robert_williams_iii_bos_2020s,robert_williams_iii,2020s,no_bbref_match
POR,Robert Williams III,G/F,6.4,6.4,1.0,0.8,1.5,"['SG', 'SF']",robert_williams_iii_por_2020s,robert_williams_iii,2020s,no_bbref_match
HOU,Cam Reynolds,G/F,3.0,1.0,0.4,0.0,0.0,"['SG', 'SF']",cam_reynolds_hou_2020s,cam_reynolds,2020s,no_bbref_match
BOS,Xavier Tillman,G/F,3.1,2.6,0.8,0.6,0.5,"['SG', 'SF']",xavier_tillman_bos_2020s,xavier_tillman,2020s,no_bbref_match
CHA,Xavier Tillman,G/F,1.5,1.4,0.4,0.3,0.2,"['SG', 'SF']",xavier_tillman_cha_2020s,xavier_tillman,2020s,no_bbref_match
MEM,Xavier Tillman,G/F,6.1,4.1,1.4,0.9,0.5,"['SG', 'SF']",xavier_tillman_mem_2020s,xavier_tillman,2020s,no_bbref_match
BKN,Trevon Scott,G/F,8.0,5.2,1.7,1.3,0.8,"['SG', 'SF']",trevon_scott_bkn_2020s,trevon_scott,2020s,no_bbref_match
CLE,Trevon Scott,G/F,3.0,1.0,0.0,0.5,0.5,"['SG', 'SF']",trevon_scott_cle_2020s,trevon_scott,2020s,no_bbref_match
LAC,Brandon Boston,G/F,6.1,1.7,0.8,0.4,0.2,"['SG', 'SF']",brandon_boston_lac_2020s,brandon_boston,2020s,no_bbref_match
NOP,Brandon Boston,G/F,10.7,3.2,2.2,1.3,0.2,"['SG', 'SF']",brandon_boston_nop_2020s,brandon_boston,2020s,no_bbref_match
MEM,Matt Hurt,G/F,4.0,2.0,0.5,0.4,0.4,"['SG', 'SF']",matt_hurt_mem_2020s,matt_hurt,2020s,no_bbref_match
CLE,Ruben Nembhard Jr.,G/F,1.1,0.5,0.9,0.1,0.0,"['SG', 'SF']",ruben_nembhard_jr_cle_2020s,ruben_nembhard_jr,2020s,no_bbref_match
POR,John Butler Jr.,G/F,2.4,0.9,0.6,0.4,0.5,"['SG', 'SF']",john_butler_jr_por_2020s,john_butler_jr,2020s,no_bbref_match
HOU,Jermaine Samuels Jr.,G/F,1.4,0.9,0.2,0.1,0.1,"['SG', 'SF']",jermaine_samuels_jr_hou_2020s,jermaine_samuels_jr,2020s,no_bbref_match
MEM,GG Jackson,G/F,11.4,3.9,1.2,0.5,0.5,"['SG', 'SF']",gg_jackson_mem_2020s,gg_jackson,2020s,no_bbref_match
DEN,DaRon Holmes II,F,3.7,1.4,0.6,0.0,0.2,['PF'],daron_holmes_ii_den_2020s,daron_holmes_ii,2020s,no_bbref_match
DET,Ronald Holland II,G/F,7.3,3.4,1.1,0.9,0.2,"['SG', 'SF']",ronald_holland_ii_det_2020s,ronald_holland_ii,2020s,no_bbref_match
LAL,Trey Jemison III,G/F,2.5,2.8,0.4,0.2,0.4,"['SG', 'SF']",trey_jemison_iii_lal_2020s,trey_jemison_iii,2020s,no_bbref_match
MEM,Trey Jemison III,G/F,6.8,5.4,1.1,0.5,1.1,"['SG', 'SF']",trey_jemison_iii_mem_2020s,trey_jemison_iii,2020s,no_bbref_match
NYK,Trey Jemison III,G/F,1.0,1.4,0.4,0.1,0.2,"['SG', 'SF']",trey_jemison_iii_nyk_2020s,trey_jemison_iii,2020s,no_bbref_match
MEM,Adama Bal,G/F,10.4,3.1,2.4,1.1,0.1,"['SG', 'SF']",adama_bal_mem_2020s,adama_bal,2020s,no_bbref_match
MEM,Walter Clayton Jr.,G/F,7.8,2.0,4.0,0.6,0.3,"['SG', 'SF']",walter_clayton_jr_mem_2020s,walter_clayton_jr,2020s,no_bbref_match
BKN,Cui Cui,G/F,0.6,0.4,0.0,0.0,0.0,"['SG', 'SF']",cui_cui_bkn_2020s,cui_cui,2020s,no_bbref_match
CLE,Darius Brown,G/F,0.0,1.0,0.0,0.0,0.0,"['SG', 'SF']",darius_brown_cle_2020s,darius_brown,2020s,no_bbref_match
BKN,Egor Dëmin,G/F,10.3,3.2,3.3,0.8,0.3,"['SG', 'SF']",egor_d_min_bkn_2020s,egor_d_min,2020s,no_bbref_match
